,DEMAND,NETINTERCHANGE,BATTERY,BIOMASS,BLACK_COAL,BROWN_COAL,DISTILLATE,GAS_CCGT,GAS_OCGT,GAS_RECIP,GAS_STEAM,HYDRO,PUMPS,SOLAR,WIND,PRICE,TEMPERATURE,ROOFTOP_SOLAR
2018-12-10 00:05:00,7246.08,-128.3,,,6671.41,,-0.01,0.18,0.0,,,49.9,200.4,0.3,306.27,,,
2018-12-10 00:10:00,7288.25,-163.52,,,6624.08,,-0.01,0.15,0.0,,,49.99,198.56,0.3,292.68,,,
2018-12-10 00:15:00,7235.72,-100.81,,,6696.38,,-0.01,0.12,0.0,,,50.1,198.2,0.3,261.46,,,
2018-12-10 00:20:00,7208.14,-97.26,,,6706.26,,-0.01,0.15,0.0,,,49.99,199.34,0.3,236.08,,,
2018-12-10 00:25:00,7172.94,-127.37,,,6723.28,,-0.01,0.18,0.0,,,49.8,199.9,0.3,232.85,,,
2018-12-10 00:30:00,7153.19,-105.05,,,6670.97,,-0.01,0.12,0.0,,,49.9,200.0,0.3,246.07,73.25,21.0,0.0
2018-12-10 00:35:00,7163.15,-151.26,,,6664.6,,-0.01,0.16,0.0,,,49.9,200.6,0.3,250.9,,,
2018-12-10 00:40:00,7126.76,-163.88,,,6567.87,,-0.01,0.21,0.0,,,49.9,198.81,0.3,274.39,,,
2018-12-10 00:45:00,7076.97,-167.92,,,6542.01,,-0.01,0.12,0.0,,,49.9,200.45,0.3,269.28,,,
2018-12-10 00:50:00,7007.45,-182.02,,,6488.5,,-0.01,0.15,0.0,,,50.0,200.1,0.3,244.15,,,
2018-12-10 00:55:00,7051.33,-286.94,,,6445.81,,-0.01,0.18,0.0,,,50.0,198.81,0.3,245.89,,,
2018-12-10 01:00:00,6925.73,-218.45,,,6362.85,,-0.01,0.14,0.0,,,49.9,200.39,0.3,275.69,68.29,21.0,0.0
2018-12-10 01:05:00,6944.13,-230.33,,,6328.11,,-0.01,0.15,0.0,,,50.0,199.6,0.3,265.96,,,
