,DEMAND,NETINTERCHANGE,BATTERY,BIOMASS,BLACK_COAL,BROWN_COAL,DISTILLATE,GAS_CCGT,GAS_OCGT,GAS_RECIP,GAS_STEAM,HYDRO,PUMPS,SOLAR,WIND,PRICE,TEMPERATURE,ROOFTOP_SOLAR
2018-12-31 00:05:00,1472.07,-534.43,2.49,,,,0.02,238.12,0.0,,125.65,,,0.0,537.86,,,
2018-12-31 00:10:00,1461.3,-549.0,-0.15,,,,0.02,237.5,0.0,,143.0,,,0.0,521.18,,,
2018-12-31 00:15:00,1449.62,-559.87,24.14,,,,0.02,238.12,0.0,,147.54,,,0.0,468.86,,,
2018-12-31 00:20:00,1487.27,-643.72,19.07,,,,0.02,237.5,0.0,,152.97,,,0.0,450.57,,,
2018-12-31 00:25:00,1512.37,-658.05,-9.65,,,,0.02,237.5,0.0,,126.26,,,0.0,449.01,,,
2018-12-31 00:30:00,1491.54,-635.48,-35.94,,,,0.02,237.5,0.0,,146.41,,,0.0,464.29,102.22,17.7,0.0
2018-12-31 00:35:00,1449.63,-607.1,-37.01,,,,0.02,238.12,0.0,,129.87,,,0.0,463.96,,,
2018-12-31 00:40:00,1424.83,-587.28,-23.74,,,,0.02,238.12,0.0,,132.41,,,0.0,457.67,,,
2018-12-31 00:45:00,1410.83,-575.69,-0.87,,,,0.02,237.5,0.0,,132.49,,,0.0,468.95,,,
2018-12-31 00:50:00,1393.22,-545.84,14.94,,,,0.02,238.74,0.0,,141.18,,,0.0,467.26,,,
2018-12-31 00:55:00,1383.53,-544.79,1.21,,,,0.02,238.12,0.0,,121.6,,,0.0,462.92,,,
2018-12-31 01:00:00,1363.35,-534.64,21.13,,,,0.02,237.5,0.0,,126.21,,,0.0,449.5,101.97,17.3,0.0
2018-12-31 01:05:00,1342.43,-524.24,9.71,,,,0.02,238.12,0.0,,133.15,,,0.0,444.47,,,
2018-12-31 01:10:00,1348.58,-541.62,0.010000000000000009,,,,0.02,238.12,0.0,,121.75,,,0.0,430.72,,,
2018-12-31 01:15:00,1336.82,-535.69,7.37,,,,0.02,238.12,0.0,,143.28,,,0.0,423.25,,,
2018-12-31 01:20:00,1341.66,-551.86,17.4,,,,0.02,238.12,0.0,,132.56,,,0.0,413.67,,,
2018-12-31 01:25:00,1303.35,-522.74,-2.62,,,,0.02,238.12,0.0,,121.41,,,0.0,397.06,,,
2018-12-31 01:30:00,1304.59,-543.99,-9.52,,,,0.02,238.74,0.0,,145.8,,,0.0,386.47,96.35,17.2,0.0
2018-12-31 01:35:00,1309.85,-598.15,-1.32,,,,0.02,238.12,0.0,,125.01,,,0.0,364.37,,,
2018-12-31 01:40:00,1297.47,-605.63,-15.11,,,,0.02,238.12,0.0,,86.37,,,0.0,366.42,,,
2018-12-31 01:45:00,1289.22,-592.29,-0.68,,,,0.02,237.5,0.0,,79.21,,,0.0,361.08,,,
2018-12-31 01:50:00,1298.98,-607.76,10.45,,,,0.02,237.5,0.0,,79.37,,,0.0,348.95,,,
2018-12-31 01:55:00,1291.2,-618.5,-12.55,,,,0.02,238.74,0.0,,81.76,,,0.0,335.8,,,
2018-12-31 02:00:00,1267.87,-594.97,-1.18,,,,0.02,238.12,0.0,,79.68,,,0.0,341.96,92.18,17.0,0.0
2018-12-31 02:05:00,1230.31,-560.66,0.5499999999999999,,,,0.02,238.12,0.0,,78.54,,,0.0,344.91,,,
2018-12-31 02:10:00,1224.88,-539.02,-0.45,,,,0.02,238.12,0.0,,80.64,,,0.0,356.79,,,
2018-12-31 02:15:00,1236.93,-540.81,0.76,,,,0.02,238.74,0.0,,79.52,,,0.0,368.75,,,
2018-12-31 02:20:00,1217.04,-511.3,0.1,,,,0.02,238.12,0.0,,78.42,,,0.0,383.64,,,
2018-12-31 02:25:00,1211.65,-492.27,3.47,,,,0.02,237.5,0.0,,78.78,,,0.0,389.71,,,
2018-12-31 02:30:00,1215.07,-484.17,2.5500000000000003,,,,0.02,238.12,0.0,,79.32,,,0.0,399.25,84.88,16.6,0.0
2018-12-31 02:35:00,1242.4,-510.42,0.31000000000000005,,,,0.02,237.5,0.0,,79.67,,,0.0,398.88,,,
2018-12-31 02:40:00,1248.92,-507.28,-5.25,,,,0.02,237.5,0.0,,79.5,,,0.0,400.31,,,
2018-12-31 02:45:00,1225.37,-494.15,-6.48,,,,0.02,238.12,0.0,,81.14,,,0.0,402.75,,,
2018-12-31 02:50:00,1235.46,-488.45,-7.99,,,,0.02,238.12,0.0,,79.02,,,0.0,414.8,,,
2018-12-31 02:55:00,1221.48,-469.51,-8.96,,,,0.02,238.74,0.0,,79.54,,,0.0,407.9,,,
2018-12-31 03:00:00,1215.02,-489.05,-20.17,,,,0.02,238.74,0.0,,78.92,,,0.0,387.63,80.3,17.1,0.0
2018-12-31 03:05:00,1213.26,-493.37,-5.3,,,,0.02,238.12,0.0,,79.15,,,0.0,393.11,,,
2018-12-31 03:10:00,1224.03,-494.19,3.69,,,,0.02,238.12,0.0,,78.66,,,0.0,396.02,,,
2018-12-31 03:15:00,1216.6,-491.28,-1.89,,,,0.02,238.12,0.0,,78.79,,,0.0,394.14,,,
2018-12-31 03:20:00,1210.51,-487.18,6.92,,,,0.02,238.12,0.0,,79.15,,,0.0,389.72,,,
2018-12-31 03:25:00,1197.29,-473.28,-1.26,,,,0.02,238.74,0.0,,79.34,,,0.0,395.57,,,
2018-12-31 03:30:00,1183.34,-448.34,-12.84,,,,0.02,238.74,0.0,,79.7,,,0.0,408.2,79.95,15.9,0.0
2018-12-31 03:35:00,1198.67,-450.86,-8.36,,,,0.02,238.74,0.0,,79.07,,,0.0,418.11,,,
2018-12-31 03:40:00,1185.09,-444.64,3.26,,,,0.02,238.74,0.0,,80.15,,,0.0,404.28,,,
2018-12-31 03:45:00,1200.96,-451.89,19.150000000000002,,,,0.02,238.12,0.0,,79.74,,,0.0,432.17,,,
2018-12-31 03:50:00,1180.01,-403.45,1.4000000000000001,,,,0.02,238.74,0.0,,78.31,,,0.0,457.72,,,
2018-12-31 03:55:00,1176.56,-400.83,0.22000000000000003,,,,0.02,238.74,0.0,,78.63,,,0.0,441.33,,,
2018-12-31 04:00:00,1172.06,-403.79,0.76,,,,0.02,238.74,0.0,,78.86,,,0.0,438.69,77.37,16.3,0.0
2018-12-31 04:05:00,1186.85,-432.96,7.4799999999999995,,,,0.02,237.5,0.0,,78.61,,,0.0,425.27,,,
2018-12-31 04:10:00,1182.81,-428.97,0.0,,,,0.02,236.88,0.0,,78.21,,,0.0,420.29,,,
2018-12-31 04:15:00,1194.16,-448.56,0.47,,,,0.02,238.74,0.0,,78.14,,,0.0,416.15,,,
2018-12-31 04:20:00,1191.94,-448.53,0.7200000000000001,,,,0.02,238.12,0.0,,78.2,,,0.0,407.53,,,
2018-12-31 04:25:00,1187.34,-454.41,-6.78,,,,0.02,238.74,0.0,,77.33,,,0.0,398.08,,,
2018-12-31 04:30:00,1186.95,-461.24,9.66,,,,0.02,238.12,0.0,,78.8,,,0.0,389.4,78.26,15.5,0.0
2018-12-31 04:35:00,1210.52,-493.17,-15.39,,,,0.02,238.74,0.0,,79.35,,,0.0,387.84,,,
2018-12-31 04:40:00,1212.95,-483.6,3.7199999999999998,,,,0.02,238.74,0.0,,80.13,,,0.0,397.76,,,
2018-12-31 04:45:00,1230.6,-512.59,-8.3,,,,0.02,238.74,0.0,,80.24,,,0.0,376.32,,,
2018-12-31 04:50:00,1231.68,-540.86,-22.68,,,,0.02,238.12,0.0,,82.39,,,0.0,348.55,,,
2018-12-31 04:55:00,1232.65,-548.54,3.91,,,,0.02,238.12,0.0,,78.59,,,0.0,353.07,,,
2018-12-31 05:00:00,1228.59,-543.06,26.92,,,,0.02,238.74,0.0,,80.51,,,0.0,360.43,86.99,15.0,0.0
2018-12-31 05:05:00,1199.79,-436.24,-20.57,,,,0.02,238.74,0.0,,79.1,,,0.0,406.59,,,
2018-12-31 05:10:00,1217.04,-392.33,6.41,,,,0.02,238.12,16.07,,77.67,,,0.0,405.64,,,
2018-12-31 05:15:00,1201.36,-400.34,-17.04,,,,0.02,238.12,84.14,,81.5,,,0.0,390.44,,,
2018-12-31 05:20:00,1198.68,-405.21,-0.15,,,,0.02,236.26,84.91,,78.17,,,0.0,383.29,,,
2018-12-31 05:25:00,1233.9,-440.51,9.25,,,,0.02,235.64,84.85,,78.54,,,0.0,389.75,,,
